idx,filename,subclass,intervals,question
31,102714.mp3,Alarm sound,[0.37-4.42],In which time segments does the 'alarm sound' sound happen?
32,102714.mp3,Bus sound,[10.85-18.80],During which intervals can the audio event 'bus sound' be heard?
33,102714.mp3,Vehicle engine,[0.07-18.94],Give all intervals that contain the sound 'vehicle engine'.
34,102744.mp3,Human Speech,[0.11-29.04],In which ranges does the event 'human speech' occur?
35,102806.mp3,Raining,[0.00-22.49],Identify the time periods containing occurrences of the event 'raining'.
36,102806.mp3,Thunder,[16.09-19.23],In which ranges does the 'thunder' sound occur?
37,102849.mp3,Bird Chirp,"[0.18-1.83, 3.09-4.39, 4.96-7.01, 7.76-8.80, 10.06-10.74, 11.58-15.91]",What time ranges correspond to occurrences of the 'bird chirp' sound?
38,102849.mp3,Insect Buzzing,[11.58-15.91],In which ranges does the event 'insect buzzing' occur?
39,102851.mp3,Waves,[0.00-21.96],Provide all time ranges where sound type 'waves' is present.
40,102856.mp3,Machine sounds,[4.41-24.25],Give all intervals that contain the event 'machine sounds'.
41,102856.mp3,Siren,[0.00-21.06],What time segments include sound type 'siren'?
42,102877.mp3,Beeping,[5.22-5.45],In which time segments does sound type 'beeping' happen?
43,102877.mp3,Trumpet,"[0.00-3.77, 6.48-10.32, 12.27-16.04, 18.11-21.93, 23.48-28.14]",Specify the time ranges in which the event 'trumpet' is detected.
44,103073.mp3,Bird Chirp,"[0.06-3.03, 6.15-9.00, 12.95-16.23]",List every time segment where the 'bird chirp' sound is present.
45,103192.mp3,Human Speech,[15.66-18.82],Provide the time segments in which the audio event 'human speech' occurs.
46,103192.mp3,Vehicle Horn Honk,"[0.00-4.15, 5.34-9.79, 10.84-15.33, 19.35-29.56]",Identify all time segments where the audio event 'vehicle horn honk' takes place.
47,103294.mp3,Airplane engine,[0.00-22.37],What time intervals does the sound 'airplane engine' occur in?
48,103455.mp3,Footsteps,[0.00-18.18],What time segments include the 'footsteps' sound?
49,103522.mp3,Snoring,[0.00-23.93],Identify the time periods containing occurrences of sound type 'snoring'.
50,103538.mp3,Airplane sound,[10.04-16.68],List all time periods where the event 'airplane sound' can be heard.
51,103538.mp3,Bird Chirp,"[3.72-5.49, 20.49-23.89]",What are the time periods when the audio event 'bird chirp' takes place?
52,103538.mp3,Insect Buzzing,[0.24-23.91],Provide the time segments in which the 'insect buzzing' sound occurs.
53,103986.mp3,Coughing,"[0.23-6.98, 8.09-9.03, 11.33-12.85, 14.14-17.66]",Provide the time segments in which the event 'coughing' occurs.
54,104089.mp3,Clapping,[0.00-16.00],Identify the time periods containing occurrences of the event 'clapping'.
55,104107.mp3,Button Press,[9.73-10.05],Identify all time segments where the sound 'button press' takes place.
56,104107.mp3,Guitar Playing,"[0.00-8.58, 10.84-19.47]",In which time segments does the event 'guitar playing' happen?
57,104110.mp3,Human Speech,"[0.00-2.92, 4.53-8.32, 10.16-14.95]",What time segments include the 'human speech' sound?
58,104386.mp3,Hammer,"[0.00-8.61, 10.38-13.73, 14.37-19.67]",What time ranges contain occurrences of the 'hammer' sound?
59,104600.mp3,Stream_River,[0.28-21.16],List all time periods where sound type 'stream_river' can be heard.
60,104671.mp3,Atmospheric Sounds,[0.00-21.98],During which intervals can the sound 'atmospheric sounds' be heard?
61,104671.mp3,Bird Chirp,"[0.58-4.49, 6.01-6.27, 7.29-9.82, 11.34-11.53, 12.98-15.90, 17.25-17.45, 18.89-20.17, 21.43-21.62]",In which time segments does the event 'bird chirp' happen?
62,104671.mp3,Train sound,"[5.82-7.02, 10.67-11.51, 14.69-15.25, 17.76-18.97, 20.99-21.74]",Give all intervals that contain the 'train sound' sound.
63,104760.mp3,Cranking,[2.57-3.36],What time intervals does the 'cranking' sound occur in?
64,104760.mp3,Hissing,[0.17-1.02],Identify the time periods containing occurrences of the 'hissing' sound.
65,104760.mp3,Metallic Sounds,"[11.50-14.31, 16.93-19.14]",Identify every interval in which sound type 'metallic sounds' takes place.
66,104760.mp3,Vehicle engine,[0.11-21.45],Specify the time ranges in which the 'vehicle engine' sound is detected.
67,104997.mp3,Human Speech,[0.00-25.59],What time segments include the sound 'human speech'?
68,104997.mp3,Wind,"[0.00-12.22, 13.02-25.59]",During which time periods is the event 'wind' audible?
69,105029.mp3,Ringing,[0.00-17.95],Specify the time ranges in which the event 'ringing' is detected.
70,105088.mp3,Dog Barking,[0.00-18.97],Identify the time periods containing occurrences of the audio event 'dog barking'.
71,105117.mp3,Vehicle Horn Honk,"[0.00-3.36, 4.88-8.38, 10.00-13.31, 15.09-18.42]",List all time periods where the sound 'vehicle horn honk' can be heard.
72,105236.mp3,Insect Buzzing,"[0.02-4.62, 6.60-17.52]",Give all intervals that contain the audio event 'insect buzzing'.
73,105289.mp3,Siren,[0.00-15.28],Show the time intervals in which the sound 'siren' is active.
74,105289.mp3,Vehicle Horn Honk,[5.35-9.78],During which intervals can the event 'vehicle horn honk' be heard?
75,105289.mp3,Vehicle engine,[9.67-15.28],List all time periods where the audio event 'vehicle engine' can be heard.
76,106013.mp3,Fan,[24.28-26.85],During which intervals can sound type 'fan' be heard?
77,106013.mp3,Vehicle engine,[0.03-24.32],What time ranges correspond to occurrences of sound type 'vehicle engine'?
78,106022.mp3,Guitar Playing,[0.00-17.45],What time segments include the event 'guitar playing'?
79,106024.mp3,Guitar Playing,[0.00-16.11],Provide all time ranges where sound type 'guitar playing' is present.
80,106027.mp3,Guitar Playing,[0.00-16.11],During which time periods is the sound 'guitar playing' audible?
81,106028.mp3,Guitar Playing,[0.00-16.10],During which intervals can the event 'guitar playing' be heard?
82,106033.mp3,Guitar Playing,[0.00-26.48],What time segments include sound type 'guitar playing'?
83,106035.mp3,Guitar Playing,[0.02-26.33],What time segments include the event 'guitar playing'?
84,106257.mp3,Violin Playing,[0.00-16.16],Provide the time segments in which the sound 'violin playing' occurs.
85,106289.mp3,Water Dripping,[0.06-21.31],Identify every interval in which the audio event 'water dripping' takes place.
86,106389.mp3,Guitar Playing,"[0.13-7.48, 8.45-11.77, 12.76-16.39, 16.92-20.39]",During which intervals can sound type 'guitar playing' be heard?
87,106482.mp3,Bell Ringing,[0.00-23.20],In which ranges does sound type 'bell ringing' occur?
88,106482.mp3,Bird Chirp,[0.00-1.29],Identify all time segments where the event 'bird chirp' takes place.
89,106482.mp3,Car driving by,[9.05-11.81],What time intervals does the sound 'car driving by' occur in?
90,106482.mp3,Footsteps,[4.16-5.36],In which time segments does the sound 'footsteps' happen?
91,106482.mp3,Metallic Sounds,"[2.01-3.36, 16.77-18.57, 20.09-23.20]",What time ranges correspond to occurrences of the sound 'metallic sounds'?
92,106484.mp3,Vehicle engine,[0.02-11.10],What time segments include the audio event 'vehicle engine'?
93,106484.mp3,Wind,[0.00-20.27],Specify the time ranges in which the sound 'wind' is detected.
94,106485.mp3,Machine sounds,[0.00-20.18],Specify the time ranges in which the sound 'machine sounds' is detected.
95,106580.mp3,Snoring,"[0.00-2.62, 4.63-6.82, 8.27-10.11, 11.61-13.34, 14.70-15.39, 16.75-17.99, 19.14-20.14]",Identify all time segments where sound type 'snoring' takes place.
96,106596.mp3,Thumping,[0.06-23.17],Identify all time segments where the 'thumping' sound takes place.
97,106601.mp3,Washing Machine,[0.00-17.68],During which intervals can the event 'washing machine' be heard?
98,106604.mp3,Thud,[0.00-24.30],During which intervals can the 'thud' sound be heard?
99,106606.mp3,Distant Sounds,[9.69-15.97],Provide the time segments in which the sound 'distant sounds' occurs.
100,106606.mp3,Metallic Sounds,[0.00-9.70],List all time periods where the sound 'metallic sounds' can be heard.
101,106819.mp3,Announcement,"[0.87-2.92, 4.21-6.13, 7.02-12.88, 14.85-19.04, 19.72-21.32]",Show the time intervals in which the sound 'announcement' is active.
102,106819.mp3,Laughter,"[0.00-4.08, 21.39-29.19]",In which time segments does sound type 'laughter' happen?
103,106849.mp3,Airplane sound,[0.00-26.14],Provide the time segments in which the sound 'airplane sound' occurs.
104,106876.mp3,Piano Playing,[0.06-11.04],What time intervals does the 'piano playing' sound occur in?
105,106877.mp3,Atmospheric Sounds,[0.18-17.85],What time intervals does the sound 'atmospheric sounds' occur in?
106,106877.mp3,Piano Playing,[0.00-17.85],In which time segments does the 'piano playing' sound happen?
107,106970.mp3,Shouting,[0.00-18.24],During which time periods is the sound 'shouting' audible?
108,106979.mp3,Cowbell Ringing,[0.00-21.02],During which time periods is the event 'cowbell ringing' audible?
109,106979.mp3,Distant Sounds,[16.03-21.02],What time ranges contain occurrences of sound type 'distant sounds'?
110,106979.mp3,Wind,[2.44-21.02],Identify all time segments where sound type 'wind' takes place.
111,107351.mp3,Crying,[0.00-18.42],List every time segment where the event 'crying' is present.
112,107577.mp3,Cow Moo,[21.39-22.77],What time segments include the event 'cow moo'?
113,108514.mp3,Clapping,[0.03-22.53],Identify the time periods containing occurrences of sound type 'clapping'.
114,108517.mp3,Breathing,[3.50-4.39],In which time segments does the 'breathing' sound happen?
115,108517.mp3,Fan,[0.01-29.43],Provide all time ranges where the 'fan' sound is present.
116,108517.mp3,Snoring,"[2.76-3.35, 4.87-6.12, 7.29-8.14, 12.03-13.44, 16.49-17.24, 19.79-20.29, 21.42-21.96, 22.56-23.28, 25.33-26.09]",What are the time periods when the sound 'snoring' takes place?
117,108517.mp3,Whistle,"[8.94-9.90, 14.49-15.86, 18.01-19.00, 23.84-24.52, 27.23-28.00]",List every time segment where the audio event 'whistle' is present.
118,108635.mp3,Dog Barking,"[0.18-0.90, 3.53-4.19, 6.69-7.55, 10.86-11.08, 15.16-15.63]",List all time intervals during which the audio event 'dog barking' appears.
119,108635.mp3,Stream_River,[0.00-15.63],What are the time periods when the event 'stream_river' takes place?
120,108811.mp3,Power Saw,[0.05-21.84],What time ranges contain occurrences of the event 'power saw'?
121,108811.mp3,Wind,"[0.00-2.27, 5.79-7.29, 13.99-21.84]",Give all intervals that contain the sound 'wind'.
122,108843.mp3,Cat Meowing,"[3.82-4.56, 5.12-7.16, 13.94-17.86]",What time segments include the event 'cat meowing'?
123,108843.mp3,Footsteps,[0.17-3.76],Identify every interval in which the 'footsteps' sound takes place.
124,108959.mp3,Car door sound,"[2.29-3.60, 14.85-15.50]",During which intervals can the sound 'car door sound' be heard?
125,108959.mp3,Siren,[0.00-24.50],What time intervals does the sound 'siren' occur in?
126,108959.mp3,Vehicle Horn Honk,[4.12-6.57],During which intervals can the sound 'vehicle horn honk' be heard?
127,108959.mp3,Wind,[0.00-27.13],What are the time periods when the event 'wind' takes place?
128,109117.mp3,Machine sounds,[0.01-16.19],What are the time periods when the audio event 'machine sounds' takes place?
129,109117.mp3,Thumping,[6.43-16.19],List all time periods where the audio event 'thumping' can be heard.
130,109371.mp3,Atmospheric Sounds,[13.72-15.51],What time ranges contain occurrences of sound type 'atmospheric sounds'?
131,109371.mp3,Metallic Sounds,"[9.74-10.03, 11.84-12.09]",Specify the time ranges in which the 'metallic sounds' sound is detected.
132,109371.mp3,Wind,[0.00-19.53],Give all intervals that contain the event 'wind'.
133,109375.mp3,Monotone Sounds,[0.00-24.29],Identify every interval in which the audio event 'monotone sounds' takes place.
134,109375.mp3,Wind,[0.00-24.29],What time segments include the sound 'wind'?
135,109793.mp3,Violin Playing,[0.00-17.27],Show the time intervals in which sound type 'violin playing' is active.
136,110219.mp3,Trumpet,"[0.05-10.43, 11.45-21.67]",List all time periods where the 'trumpet' sound can be heard.
137,110260.mp3,Trumpet,"[0.00-4.26, 5.88-15.30]",List all time intervals during which the 'trumpet' sound appears.
138,110310.mp3,Car driving by,[0.00-20.00],Identify the time periods containing occurrences of the audio event 'car driving by'.
139,110317.mp3,Beeping,[3.89-5.18],In which ranges does sound type 'beeping' occur?
140,110317.mp3,Trumpet,[0.00-25.96],What time ranges correspond to occurrences of the audio event 'trumpet'?
141,110336.mp3,Guitar Playing,"[0.00-8.13, 9.62-18.28]",Specify the time ranges in which the sound 'guitar playing' is detected.
142,110425.mp3,Clapping,"[0.00-5.61, 14.43-26.98]",Specify the time ranges in which the 'clapping' sound is detected.
143,110425.mp3,Human Speech,[5.68-14.33],Identify the time periods containing occurrences of the 'human speech' sound.
144,110425.mp3,Shouting,"[5.68-14.33, 19.51-26.98]",Give all intervals that contain the event 'shouting'.
145,110551.mp3,Grinding,[0.25-26.42],List every time segment where the 'grinding' sound is present.
146,110610.mp3,Sheep_Goat Bleat,[0.00-26.88],Provide the time segments in which sound type 'sheep_goat bleat' occurs.
147,110623.mp3,Bird Chirp,[0.00-19.38],What time ranges correspond to occurrences of sound type 'bird chirp'?
148,110623.mp3,Waves,[0.00-19.38],Identify every interval in which the 'waves' sound takes place.
149,110919.mp3,Wood sounds,[0.02-25.50],What time ranges contain occurrences of the audio event 'wood sounds'?
150,110955.mp3,Clapping,[12.75-17.57],Identify all time segments where the sound 'clapping' takes place.
151,110955.mp3,Screaming,[0.00-0.84],Give all intervals that contain the 'screaming' sound.
152,110955.mp3,Shouting,[5.58-6.37],Provide all time ranges where the event 'shouting' is present.
153,111002.mp3,Wind,[0.03-24.90],Provide all time ranges where the audio event 'wind' is present.
154,111003.mp3,Atmospheric Sounds,[0.00-16.60],Provide the time segments in which the sound 'atmospheric sounds' occurs.
155,111003.mp3,Raining,[0.00-16.60],Provide all time ranges where sound type 'raining' is present.
156,111003.mp3,Waves,[11.66-16.32],What time segments include the 'waves' sound?
157,111017.mp3,Bird Chirp,"[0.04-8.00, 8.82-15.47, 16.25-24.81]",Identify the time periods containing occurrences of the 'bird chirp' sound.
158,111059.mp3,Breathing,[6.98-7.86],List all time periods where the 'breathing' sound can be heard.
159,111059.mp3,Car door sound,[0.55-0.96],What are the time periods when sound type 'car door sound' takes place?
160,111059.mp3,Car driving by,[18.18-24.25],What time intervals does the event 'car driving by' occur in?
161,111059.mp3,Raining,[0.06-24.25],Specify the time ranges in which sound type 'raining' is detected.
162,111059.mp3,Traffic Noise,[4.52-11.61],What time ranges correspond to occurrences of the 'traffic noise' sound?
163,111078.mp3,Atmospheric Sounds,[0.00-17.42],Show the time intervals in which sound type 'atmospheric sounds' is active.
164,111078.mp3,Bird Chirp,[0.00-13.09],What time ranges contain occurrences of the 'bird chirp' sound?
165,111084.mp3,Bird Chirp,[0.00-26.52],During which time periods is the sound 'bird chirp' audible?
166,111171.mp3,Thud,[5.29-5.96],Provide all time ranges where the audio event 'thud' is present.
167,111171.mp3,Vehicle engine,[0.00-19.01],Show the time intervals in which sound type 'vehicle engine' is active.
168,111174.mp3,Vehicle engine,"[0.00-2.41, 12.56-23.60]",List every time segment where the sound 'vehicle engine' is present.
169,111178.mp3,Announcement,[6.95-12.33],List all time periods where the 'announcement' sound can be heard.
170,111178.mp3,Vehicle engine,[0.00-28.70],Provide the time segments in which the sound 'vehicle engine' occurs.
171,111179.mp3,Human Speech,[18.24-20.54],Identify all time segments where the audio event 'human speech' takes place.
172,111179.mp3,Traffic Noise,[0.02-22.41],Show the time intervals in which the 'traffic noise' sound is active.
173,111181.mp3,Vehicle engine,[0.00-25.74],What time intervals does the sound 'vehicle engine' occur in?
174,111185.mp3,Machine sounds,[0.00-19.83],List all time intervals during which the sound 'machine sounds' appears.
175,111389.mp3,Truck driving by,[0.00-19.20],Give all intervals that contain the 'truck driving by' sound.
176,111905.mp3,Machine sounds,[0.02-21.14],Identify every interval in which the audio event 'machine sounds' takes place.
177,112531.mp3,Machine sounds,[0.00-23.86],Provide the time segments in which sound type 'machine sounds' occurs.
178,112562.mp3,Laughter,"[0.05-2.77, 3.49-7.72, 19.04-21.76]",Show the time intervals in which the event 'laughter' is active.
179,112631.mp3,Announcement,"[0.33-0.90, 1.81-2.14, 3.30-3.69, 4.27-4.65, 5.79-6.10, 7.26-7.85, 9.00-9.57, 11.00-11.54, 12.31-12.62, 14.08-15.04]",What time ranges contain occurrences of the 'announcement' sound?
180,112633.mp3,Piano Playing,[0.05-29.69],What are the time periods when the event 'piano playing' takes place?
181,112811.mp3,Fire burning,[0.00-23.05],What are the time periods when the audio event 'fire burning' takes place?
182,113146.mp3,Distant Sounds,"[0.02-2.35, 8.91-15.18, 15.93-20.54, 21.73-22.80]",What time segments include sound type 'distant sounds'?
183,113146.mp3,Thumping,[3.01-5.17],Identify all time segments where the event 'thumping' takes place.
184,113146.mp3,Wind,[0.00-23.59],List all time periods where the sound 'wind' can be heard.
185,113174.mp3,Wind,[0.00-16.70],What time ranges contain occurrences of the event 'wind'?
186,113321.mp3,Car driving by,[21.37-24.92],In which ranges does sound type 'car driving by' occur?
187,113321.mp3,Clicking,[22.76-22.98],Specify the time ranges in which sound type 'clicking' is detected.
188,113321.mp3,Traffic Noise,[15.63-20.70],During which intervals can the sound 'traffic noise' be heard?
189,113321.mp3,Vehicle engine,"[0.69-4.33, 5.39-15.27]",In which time segments does the sound 'vehicle engine' happen?
190,113325.mp3,Car driving by,[13.44-15.45],What time ranges correspond to occurrences of the audio event 'car driving by'?
191,113325.mp3,Drums,[17.25-17.75],Identify all time segments where the event 'drums' takes place.
192,113325.mp3,Human Speech,"[0.02-1.58, 7.11-8.40]",Identify all time segments where sound type 'human speech' takes place.
193,113325.mp3,Vehicle braking,[9.25-12.35],List all time intervals during which the audio event 'vehicle braking' appears.
194,113325.mp3,White noise,[0.01-17.78],Identify the time periods containing occurrences of the sound 'white noise'.
195,113326.mp3,Machine sounds,[0.04-4.31],Specify the time ranges in which the event 'machine sounds' is detected.
196,113326.mp3,Vehicle engine,[4.35-16.14],Show the time intervals in which the 'vehicle engine' sound is active.
197,113327.mp3,Hissing,"[4.61-4.77, 16.65-17.98]",Specify the time ranges in which sound type 'hissing' is detected.
198,113327.mp3,Vehicle engine,[0.00-20.81],Give all intervals that contain the audio event 'vehicle engine'.
199,113331.mp3,Machine sounds,[0.00-15.60],List all time periods where the 'machine sounds' sound can be heard.
200,113331.mp3,Metallic Sounds,[8.29-8.79],In which ranges does the 'metallic sounds' sound occur?
201,113331.mp3,Rustling,[8.71-15.60],List all time intervals during which the audio event 'rustling' appears.
202,113333.mp3,White noise,[0.05-24.31],Identify every interval in which the audio event 'white noise' takes place.
203,113336.mp3,Atmospheric Sounds,[0.00-19.72],Identify all time segments where the audio event 'atmospheric sounds' takes place.
204,113336.mp3,Car driving by,[0.00-19.72],List all time periods where the audio event 'car driving by' can be heard.
205,113336.mp3,Distant Sounds,[0.00-19.72],Specify the time ranges in which the 'distant sounds' sound is detected.
206,113337.mp3,Dog Barking,[1.48-1.92],What time ranges correspond to occurrences of the sound 'dog barking'?
207,113337.mp3,Human Speech,[0.00-22.43],List every time segment where the sound 'human speech' is present.
208,113337.mp3,Vehicle engine,[0.00-22.43],Provide all time ranges where the 'vehicle engine' sound is present.
209,113338.mp3,White noise,[0.01-20.09],Provide the time segments in which the sound 'white noise' occurs.
210,113339.mp3,Bus sound,[0.02-18.27],List all time periods where the 'bus sound' sound can be heard.
211,113339.mp3,Hissing,[15.72-16.26],What time segments include the sound 'hissing'?
212,113340.mp3,Cranking,[13.00-19.57],Identify all time segments where the sound 'cranking' takes place.
213,113340.mp3,Machine sounds,[0.00-28.49],What time ranges contain occurrences of the audio event 'machine sounds'?
214,113344.mp3,Beeping,[8.55-15.63],Provide all time ranges where the event 'beeping' is present.
215,113344.mp3,Distant Sounds,[2.49-8.42],List all time periods where the 'distant sounds' sound can be heard.
216,113344.mp3,Vehicle engine,[0.01-15.63],In which time segments does the 'vehicle engine' sound happen?
217,113348.mp3,Traffic Noise,[0.02-17.34],What time ranges contain occurrences of the sound 'traffic noise'?
218,113351.mp3,Distant Sounds,[4.47-19.16],Give all intervals that contain the event 'distant sounds'.
219,113351.mp3,Footsteps,"[0.00-4.47, 19.14-20.70]",What time intervals does the sound 'footsteps' occur in?
220,113351.mp3,Traffic Noise,[0.00-20.70],Identify all time segments where the sound 'traffic noise' takes place.
221,113352.mp3,Car driving by,"[7.73-16.97, 18.60-20.48]",Identify the time periods containing occurrences of the sound 'car driving by'.
222,113352.mp3,Metallic Sounds,[21.22-21.61],Specify the time ranges in which the event 'metallic sounds' is detected.
223,113352.mp3,Traffic Noise,"[0.00-7.79, 16.94-18.78]",During which intervals can the sound 'traffic noise' be heard?
224,113352.mp3,Vehicle engine,[20.45-26.66],During which time periods is sound type 'vehicle engine' audible?
225,113355.mp3,Traffic Noise,[0.01-18.97],What time intervals does the audio event 'traffic noise' occur in?
226,113355.mp3,Vehicle engine,[6.81-16.45],Provide all time ranges where the 'vehicle engine' sound is present.
227,113356.mp3,Traffic Noise,[0.03-28.16],Provide the time segments in which the audio event 'traffic noise' occurs.
228,113582.mp3,Announcement,[10.70-12.41],What time segments include the 'announcement' sound?
229,113582.mp3,Cheering,[0.01-4.63],In which time segments does sound type 'cheering' happen?
230,113582.mp3,Clapping,"[6.49-9.96, 16.34-19.95]",Specify the time ranges in which sound type 'clapping' is detected.
231,113582.mp3,Screaming,[4.61-6.51],In which time segments does sound type 'screaming' happen?
232,113582.mp3,Shouting,[14.32-16.33],What time ranges contain occurrences of sound type 'shouting'?
233,113755.mp3,Fire burning,[0.00-17.64],What time segments include the sound 'fire burning'?
234,114284.mp3,Washing Machine,[12.20-21.07],What time ranges contain occurrences of the sound 'washing machine'?
235,114285.mp3,Washing Machine,[0.00-21.67],Identify all time segments where the event 'washing machine' takes place.
236,114286.mp3,Washing Machine,[0.00-24.60],Provide the time segments in which sound type 'washing machine' occurs.
237,114290.mp3,Train sound,[12.54-15.89],Specify the time ranges in which the event 'train sound' is detected.
238,114442.mp3,Atmospheric Sounds,[0.02-23.90],During which time periods is the event 'atmospheric sounds' audible?
239,114442.mp3,Bird Chirp,"[0.78-10.00, 11.97-13.59, 15.13-16.34, 18.22-23.87]",What are the time periods when sound type 'bird chirp' takes place?
240,114442.mp3,Monkey sounds,[0.25-0.73],Provide the time segments in which sound type 'monkey sounds' occurs.
241,114459.mp3,Dog Barking,[24.48-24.75],Provide all time ranges where the 'dog barking' sound is present.
242,114459.mp3,Squeaking,"[0.30-5.83, 7.30-14.87, 16.01-23.91]",What time ranges contain occurrences of the 'squeaking' sound?
243,114459.mp3,Wind,[0.00-24.75],Identify the time periods containing occurrences of the event 'wind'.
244,114463.mp3,Announcement,[4.86-22.76],During which intervals can the sound 'announcement' be heard?
245,114463.mp3,Bell Ringing,[0.01-22.76],What time intervals does the 'bell ringing' sound occur in?
246,114464.mp3,Train sound,[1.17-14.67],Identify the time periods containing occurrences of the event 'train sound'.
247,114491.mp3,Wind,"[0.14-10.24, 12.88-13.91, 16.99-23.61]",Show the time intervals in which the event 'wind' is active.
248,114609.mp3,Snoring,"[0.00-0.99, 3.90-7.07, 8.48-11.88, 13.54-15.60, 18.01-20.33, 21.94-22.29]",Provide the time segments in which the sound 'snoring' occurs.
249,114629.mp3,Stream_River,[0.05-24.84],Identify the time periods containing occurrences of the audio event 'stream_river'.
250,114629.mp3,Waves,"[1.12-4.77, 5.86-7.97, 9.84-16.30, 18.40-24.87]",What time ranges correspond to occurrences of the audio event 'waves'?
251,114702.mp3,Electronic Game,[0.00-24.12],What time ranges contain occurrences of the event 'electronic game'?
252,114722.mp3,Violin Playing,[0.00-17.62],What time ranges correspond to occurrences of the audio event 'violin playing'?
253,115137.mp3,Atmospheric Sounds,[0.00-24.96],Identify every interval in which sound type 'atmospheric sounds' takes place.
254,115137.mp3,Machine sounds,[0.00-24.96],List all time intervals during which the audio event 'machine sounds' appears.
255,115137.mp3,Vehicle engine,[0.04-24.96],During which time periods is the event 'vehicle engine' audible?
256,115345.mp3,Bird Chirp,[0.00-21.22],Provide the time segments in which the audio event 'bird chirp' occurs.
257,115345.mp3,Human Speech,[5.21-9.81],Provide all time ranges where the sound 'human speech' is present.
258,115390.mp3,Washing Machine,[0.00-25.61],Identify the time periods containing occurrences of the sound 'washing machine'.
259,115523.mp3,Announcement,[6.37-11.97],Provide all time ranges where the audio event 'announcement' is present.
260,115523.mp3,Bird Chirp,"[0.00-6.36, 12.09-20.07]",During which time periods is sound type 'bird chirp' audible?
261,115920.mp3,Announcement,[14.47-15.15],What time ranges contain occurrences of the audio event 'announcement'?
262,115920.mp3,Clapping,"[0.04-12.10, 13.65-14.26]",What are the time periods when sound type 'clapping' takes place?
263,115920.mp3,Human Speech,[13.82-14.46],Give all intervals that contain sound type 'human speech'.
264,115920.mp3,Shouting,[12.11-13.55],What time ranges contain occurrences of sound type 'shouting'?
265,115930.mp3,Machine sounds,[0.00-15.89],During which time periods is the event 'machine sounds' audible?
266,116427.mp3,Doorbell,[0.00-25.14],Specify the time ranges in which the sound 'doorbell' is detected.
267,116483.mp3,Dog Barking,"[0.08-0.66, 1.43-3.13, 3.69-4.91, 5.95-10.17, 11.21-12.84, 17.75-20.61, 21.41-21.93, 23.77-25.86]",What time intervals does the event 'dog barking' occur in?
